SPECIES_COMMON ,SPECIES_LATIN
Fir Balsam,Abies balsamea
Fir Colorado,Abies concolor
Fir White,Abies concolor
Fir Species,Abies species
Maple Hedge,Acer campestre
Maple Amur,Acer ginnala
Maple Bigleaf,Acer macrophyllum
Maple Manitoba,Acer negundo
Maple Black,Acer nigrum
Maple Japanese,Acer palmatum
Maple Striped,Acer pensylvanicum
Maple Norway,Acer platanoides
Maple Red,Acer rubrum
Maple Silver,Acer saccharinum
Maple Sugar,Acer saccharum
Maple Species,Acer species
Maple Tatarian,Acer tataricum
Maple Freeman,Acer x freemanii
"Maple Upright ""Temple's""","Acer saccharum ""Temple's"""
Buckeye Ohio,Aesculus glabra
Horsechestnut Common,Aesculus hippocastanum
Alder Species,Alnus species
Serviceberry,Amelanchier species
Birch Yellow,Betula alleghaniensis
Birch Alaskan,Betula neoalaskana
Birch River,Betula nigra
Birch White,Betula papyrifera
Birch Weeping,Betula pendula
Birch Gray,Betula populifolia
Birch Species,Betula species
Birch Himalayan Whitebarked,Betula utilis Jacquemontii
Beech Blue,Carpinus caroliniana
Hickory Bitternut,Carya cordiformis
Hickory Shagbark,Carya ovata
Hickory Species,Carya species
Catalpa northern,Catalpa speciosa
Hackberry,Celtis occidentalis
Katsura tree,Cercidiphyllum japonic
Redbud Eastern,Cercis canadensis
False cypress species,Chamaecyparis species
Yellowwood,Cladrastis lutea
Alternate leaved-dogwood,Cornus alternifolia
Flowering Dogwood,Cornus florida
Dogwood Red Osier,Cornus sericea
Hazel American,Corylus americana
Hazel Turkish,Corylus colurna
Thornless Hawthorn,Crataegus crusgalli 'Inermis'
Hawthorn,Crataegus species
Olive Russian,Elaeagnus angustifolia
Beech American,Fagus grandifolia
Beech Species,Fagus species
Beech European,Fagus sylvatica
Ash White,Fraxinus americana
Ash European,Fraxinus excelsior
Ash Black,Fraxinus nigra
Ash Green,Fraxinus pennsylvanica
Ash Species,Fraxinus species
Ginkgo,Ginkgo biloba
Locust Honey,Gleditsia triacanthos
Coffeetree Kentucky,Gymnocladus dioicus
Butternut,Juglans cinerea
Walnut Manchurian,Juglans mandshurica
Walnut Black,Juglans nigra
Juniper,Juniperus species
Cedar Eastern Red,Juniperus virginiana
Goldenchain tree,Laburnum x watereri
Larch European,Larix decidua
Larch Eastern,Larix laricina
Tulip-tree,Liriodendron tulipifer
Amur Maakia,Maakia amurensis
Magnolia Species,Magnolia Species
Apple Species,Malus apple Species
Crabapple Species,Malus crabapple Species
Dawn Redwood,Metasequoia glyptostroboides
Mulberry Species,Morus Species
Ironwod,Ostrya virginiana
Other,Other - See Notes
Amur Corktree,Phellodendron amurense
Spruce Norway,Picea abies
Spruce White,Picea glauca
Spruce Black,Picea mariana
Spruce Serbian,Picea omorika
Spruce Blue/Colorado,Picea pungens
Spruce Red,Picea rubens
Spruce Species,Picea species
Pine Jack,Pinus banksiana
Pine Bristlecone,Pinus longaeva
Pine White Western,Pinus monticola
Pine Mugo,Pinus mugo
Pine Austrian,Pinus nigra
Pine Red,Pinus resinosa
Pine Species,Pinus species
Pine White,Pinus strobus
Pine Scotch,Pinus sylvestris
Sycamore American,Platanus occidentalis
London Plane Tree,Platanus x acerifolia
Poplar Silver/White,Populus alba
Poplar Balsam,Populus balsamifera
Cottonwood Eastern,Populus deltoides
Aspen Largetooth,Populus grandidentata
Poplar Lombardy,Populus nigra
Poplar Species,Populus species
Aspen European,Populus tremula
Aspen Trembling,Populus tremuloides
Almond Flowering,Prunus glandulosa
Canadian Plum,Prunus nigra
Cherry Pin,Prunus pensylvanica
Cherry Black,Prunus serotina
Cherry Species,Prunus species
Cherry Choke,Prunus virginiana
Cherry Choke Schubert,Prunus virginiana 'schubert'
Cherry Purple Leaf,Prunus x cistena
Fir Douglas,Pseudotsuga menziesii
Hoptree Common,Ptelea trifoliata
Ornamental Pear,Pyrus calleryana
Pear Species,Pyrus Species
Oak White,Quercus alba
Oak Swamp white,Quercus bicolor
Oak Bur,Quercus macrocarpa
Chinkapin Oak,Quercus muehlenbergii
Oak Pin,Quercus palustris
Oak English,Quercus robur
Oak Red,Quercus rubra
Oak Species,Quercus species
Staghorn sumac,Rhus typhina
Locust Black,Robinia pseudoacacia
Willow Bebb,Salix bebbiana
Willow Corkscrew,Salix matsudana
Willow Black,Salix nigra
Willow False Mountain,Salix pseudomonticola
Willow Blue Arctic,Salix purpurea
Willow Species,Salix species
Willow Weeping,Salix alba 'Tristis'
Elderberry,Sambucus
See Notes,See Notes
Mountain Ash American,Sorbus americana
Mountain Ash European,Sorbus aucuparia
Mountain Ash Showy,Sorbus decora
Mountain Ash Species,Sorbus species
Mountain Ash Oakleaf,Sorbus x thuringiaca
Swedish Whitebeam,Sorubus Intermedia
Lilac Japanese,Syringa reticulata
Lilac Common,Syringa vulgaris
Yew Canada,Taxus canadensis
Yew species,Taxus species
Cedar Eastern White,Thuja occidentalis
Basswood,Tilia americana
Linden Littleleaf,Tilia cordata
Hemlock,Tsuga canadensis
Elm American,Ulmus americana
Elm Scotch,Ulmus glabra
Elm Chinese,Ulmus parvifolia
Elm Pioneer,Ulmus 'Pioneer'
Elm Prospector,Ulmus 'Prospector'
Elm Siberian,Ulmus pumila
Elm Red,Ulmus rubra
Elm Species,Ulmus species
Elm Rock,Ulmus Thomasii
Unknown Species,Unknown
Various Species,Various Species
Bayberry,Myrica pensylvanica
Nannyberry,Viburnum lentago
Winterberry,Ilex verticillata
Accolade Elm,"Ulmus japonica wilsoniana ""Morton"""
Homestead Elm,Ulmus x Homestead
Hedge Start,Hedge Start
Hedge End,Hedge End
Chokeberry,Aronia melanocarpa
Buttonbush,Cephalanthus occidentalis
Grey Dogwood,Cornus racemosa
Witch Hazel,Hamamelis virginiana
Ninebark,Physocarpus opulifolius
Fragrant sumac,Rhus aromatica
